ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;9;11;1.6384;PositionBER;0;0;0.005;0;0;-101.674
1;9;11;1.97173;PositionBER;0;0;0.005;0;0;-101.674
2;9;11;2.30507;PositionBER;0;0;0.005;0;0;-101.674
3;9;11;2.6384;PositionBER;0;0;0.005;0;0;-101.674
4;9;11;2.97173;PositionBER;0;0;0.005;0;0;-101.674
5;9;11;3.30507;PositionBER;0;0;0.005;0;0;-101.674
6;9;11;3.6384;PositionBER;0;0;0.005;0;0;-101.674
7;9;11;3.97173;PositionBER;0;0;0.005;0;0;-101.674
8;9;11;4.30507;PositionBER;0;0;0.005;0;0;-101.674
9;9;11;4.6384;PositionBER;0;0;0.005;0;0;-101.674
10;9;11;4.97173;PositionBER;0;0;0.005;0;0;-101.674
11;9;11;5.30507;PositionBER;0;0;0.005;0;0;-101.674
12;9;11;5.6384;PositionBER;0;0;0.005;0;0;-101.674
13;9;11;5.97173;PositionBER;0;0;0.005;0;0;-101.674
14;9;11;6.30507;PositionBER;0;0;0.005;0;0;-101.674
15;9;11;6.6384;PositionBER;0;0;0.005;0;0;-101.674
16;9;11;6.97173;PositionBER;0;0;0.005;0;0;-101.674
17;9;11;7.30507;PositionBER;0;0;0.005;0;0;-101.674
18;9;11;7.6384;PositionBER;0;0;0.005;0;0;-101.674
19;9;11;7.97173;PositionBER;0;0;0.005;0;0;-101.674
20;9;11;8.30507;PositionBER;0;0;0.005;0;0;-101.674
21;9;11;8.6384;PositionBER;0;0;0.005;0;0;-101.674
22;9;11;8.97173;PositionBER;0;0;0.005;0;0;-101.674
23;9;11;9.30507;PositionBER;0;0;0.005;0;0;-101.674
24;9;11;9.6384;PositionBER;0;0;0.005;0;0;-101.674
25;9;11;9.97173;PositionBER;0;0;0.005;0;0;-101.674
26;9;11;10.3051;PositionBER;0;0;0.01;0;0;-96.3985
27;9;11;10.6384;PositionBER;0;0;0.01;0;0;-96.3985
28;9;11;10.9717;PositionBER;0;0;0.01;0;0;-96.3985
29;9;11;11.3051;PositionBER;0;0;0.01;0;0;-96.3985
30;9;11;11.6384;PositionBER;0;0;0.01;0;0;-96.3985
31;9;11;11.9717;PositionBER;0;0;0.01;0;0;-96.3985
32;9;11;12.3051;PositionBER;0;0;0.01;0;0;-96.3985
33;9;11;12.6384;PositionBER;0;0;0.01;0;0;-96.3985
34;9;11;12.9717;PositionBER;0;0;0.01;0;0;-96.3985
35;9;11;13.3051;PositionBER;0;0;0.01;0;0;-96.3985
36;9;11;13.6384;PositionBER;0;0;0.01;0;0;-96.3985
37;9;11;13.9717;PositionBER;0;0;0.01;0;0;-96.3985
38;9;11;14.3051;PositionBER;0;0;0.01;0;0;-96.3985
39;9;11;14.6384;PositionBER;0;0;0.01;0;0;-96.3985
40;9;11;14.9717;PositionBER;0;0;0.01;0;0;-96.3985
41;9;11;15.3051;PositionBER;0;0;0.01;0;0;-96.3985
42;9;11;15.6384;PositionBER;0;0;0.01;0;0;-96.3985
43;9;11;15.9717;PositionBER;0;0;0.01;0;0;-96.3985
44;9;11;16.3051;PositionBER;0;0;0.01;0;0;-96.3985
45;9;11;16.6384;PositionBER;0;0;0.01;0;0;-96.3985
46;9;11;16.9717;PositionBER;0;0;0.01;0;0;-96.3985
47;9;11;17.3051;PositionBER;0;0;0.01;0;0;-96.3985
48;9;11;17.6384;PositionBER;0;0;0.01;0;0;-96.3985
49;9;11;17.9717;PositionBER;0;0;0.01;0;0;-96.3985
50;9;11;18.3051;PositionBER;0;0;0.01;0;0;-96.3985
51;9;11;18.6384;PositionBER;0;0;0.01;0;0;-96.3985
52;9;11;18.9717;PositionBER;0;0;0.01;0;0;-96.3985
53;9;11;19.3051;PositionBER;0;0;0.01;0;0;-96.3985
54;9;11;19.6384;PositionBER;0;0;0.01;0;0;-96.3985
55;9;11;19.9717;PositionBER;0;0;0.01;0;0;-96.3985
56;9;11;20.3051;PositionBER;0;0;0.015;0;0;-93.2755
57;9;11;20.6384;PositionBER;0;0;0.015;0;0;-93.2755
58;9;11;20.9717;PositionBER;0;0;0.015;0;0;-93.2755
59;9;11;21.3051;PositionBER;0;0;0.015;0;0;-93.2755
60;9;11;21.6384;PositionBER;0;0;0.015;0;0;-93.2755
61;9;11;21.9717;PositionBER;0;0;0.015;0;0;-93.2755
62;9;11;22.3051;PositionBER;0;0;0.015;0;0;-93.2755
63;9;11;22.6384;PositionBER;0;0;0.015;0;0;-93.2755
64;9;11;22.9717;PositionBER;0;0;0.015;0;0;-93.2755
65;9;11;23.3051;PositionBER;0;0;0.015;0;0;-93.2755
66;9;11;23.6384;PositionBER;0;0;0.015;0;0;-93.2755
67;9;11;23.9717;PositionBER;0;0;0.015;0;0;-93.2755
68;9;11;24.3051;PositionBER;0;0;0.015;0;0;-93.2755
69;9;11;24.6384;PositionBER;0;0;0.015;0;0;-93.2755
70;9;11;24.9717;PositionBER;0;0;0.015;0;0;-93.2755
71;9;11;25.3051;PositionBER;0;0;0.015;0;0;-93.2755
72;9;11;25.6384;PositionBER;0;0;0.015;0;0;-93.2755
73;9;11;25.9717;PositionBER;0;0;0.015;0;0;-93.2755
74;9;11;26.3051;PositionBER;0;0;0.015;0;0;-93.2755
75;9;11;26.6384;PositionBER;0;0;0.015;0;0;-93.2755
76;9;11;26.9717;PositionBER;0;0;0.015;0;0;-93.2755
77;9;11;27.3051;PositionBER;0;0;0.015;0;0;-93.2755
78;9;11;27.6384;PositionBER;0;0;0.015;0;0;-93.2755
79;9;11;27.9717;PositionBER;0;0;0.015;0;0;-93.2755
80;9;11;28.3051;PositionBER;0;0;0.015;0;0;-93.2755
81;9;11;28.6384;PositionBER;0;0;0.015;0;0;-93.2755
82;9;11;28.9717;PositionBER;0;0;0.015;0;0;-93.2755
83;9;11;29.3051;PositionBER;0;0;0.015;0;0;-93.2755
84;9;11;29.6384;PositionBER;0;0;0.015;0;0;-93.2755
85;9;11;29.9717;PositionBER;0;0;0.015;0;0;-93.2755
86;9;11;30.3051;PositionBER;0;0;0.02;0;0;-91.0216
87;9;11;30.6384;PositionBER;0;0;0.02;0;0;-91.0216
88;9;11;30.9717;PositionBER;0;0;0.02;0;0;-91.0216
89;9;11;31.3051;PositionBER;0;0;0.02;0;0;-91.0216
90;9;11;31.6384;PositionBER;0;0;0.02;0;0;-91.0216
91;9;11;31.9717;PositionBER;0;0;0.02;0;0;-91.0216
92;9;11;32.3051;PositionBER;0;0;0.02;0;0;-91.0216
93;9;11;32.6384;PositionBER;0;0;0.02;0;0;-91.0216
94;9;11;32.9717;PositionBER;0;0;0.02;0;0;-91.0216
95;9;11;33.3051;PositionBER;0;0;0.02;0;0;-91.0216
96;9;11;33.6384;PositionBER;0;0;0.02;0;0;-91.0216
97;9;11;33.9717;PositionBER;0;0;0.02;0;0;-91.0216
98;9;11;34.3051;PositionBER;0;0;0.02;0;0;-91.0216
99;9;11;34.6384;PositionBER;0;0;0.02;0;0;-91.0216
100;9;11;34.9717;PositionBER;0;0;0.02;0;0;-91.0216
