ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;9;11;1.6384;PositionBER;0;0;0.005;0;0;-101.674
1;9;11;5.6384;PositionBER;0;0;0.005;0;0;-101.674
2;9;11;9.6384;PositionBER;0;0;0.005;0;0;-101.674
3;9;11;13.6384;PositionBER;0;0;0.01;0;0;-96.3985
4;9;11;17.6384;PositionBER;0;0;0.01;0;0;-96.3985
5;9;11;21.6384;PositionBER;0;0;0.015;0;0;-93.2755
6;9;11;25.6384;PositionBER;0;0;0.015;0;0;-93.2755
7;9;11;29.6384;PositionBER;0;0;0.015;0;0;-93.2755
8;9;11;33.6384;PositionBER;0;0;0.02;0;0;-91.0216
9;9;11;37.6384;PositionBER;0;0;0.02;0;0;-91.0216
10;9;11;41.6384;PositionBER;0;0;0.025;0;0;-89.2357
11;9;11;45.6384;PositionBER;0;0;0.025;0;0;-89.2357
12;9;11;49.6384;PositionBER;0;0;0.025;0;0;-89.2357
13;9;11;53.6384;PositionBER;0;0;0.03;0;0;-87.7399
14;9;11;57.6384;PositionBER;0;0;0.03;0;0;-87.7399
15;9;11;61.6384;PositionBER;0;0;0.035;0;0;-86.4405
16;9;11;65.6384;PositionBER;0;0;0.035;0;0;-86.4405
17;9;11;69.6384;PositionBER;0;0;0.035;0;0;-86.4405
18;9;11;73.6384;PositionBER;0;0;0.04;0;0;-85.282
19;9;11;77.6384;PositionBER;0;0;0.04;0;0;-85.282
20;9;11;81.6384;PositionBER;0;0;0.045;0;0;-84.2296
21;9;11;85.6384;PositionBER;0;0;0.045;0;0;-84.2296
22;9;11;89.6384;PositionBER;0;0;0.045;0;0;-84.2296
23;9;11;93.6384;PositionBER;0;0;0.05;0;0;-83.2599
24;9;11;97.6384;PositionBER;0;0;0.05;0;0;-83.2599
25;9;11;101.638;PositionBER;0;0;0.055;0;0;-82.3567
26;9;11;105.638;PositionBER;0;0;0.055;0;0;-82.3567
27;9;11;109.638;PositionBER;0;0;0.055;0;0;-82.3567
