ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;9;11;0;PositionSINRdB;0;0;0.005;0;0;115.063
0;9;11;1.6384;PositionSINRdB;0;0;0.005;0;0;115.063
1;9;11;4;PositionSINRdB;0;0;0.005;0;0;115.063
1;9;11;5.6384;PositionSINRdB;0;0;0.005;0;0;115.063
2;9;11;8;PositionSINRdB;0;0;0.005;0;0;115.063
2;9;11;9.6384;PositionSINRdB;0;0;0.005;0;0;115.063
3;9;11;12;PositionSINRdB;0;0;0.01;0;0;109.003
3;9;11;13.6384;PositionSINRdB;0;0;0.01;0;0;109.003
4;9;11;16;PositionSINRdB;0;0;0.01;0;0;109.003
4;9;11;17.6384;PositionSINRdB;0;0;0.01;0;0;109.003
5;9;11;20;PositionSINRdB;0;0;0.015;0;0;105.416
5;9;11;21.6384;PositionSINRdB;0;0;0.015;0;0;105.416
6;9;11;24;PositionSINRdB;0;0;0.015;0;0;105.416
6;9;11;25.6384;PositionSINRdB;0;0;0.015;0;0;105.416
7;9;11;28;PositionSINRdB;0;0;0.015;0;0;105.416
7;9;11;29.6384;PositionSINRdB;0;0;0.015;0;0;105.416
8;9;11;32;PositionSINRdB;0;0;0.02;0;0;102.827
8;9;11;33.6384;PositionSINRdB;0;0;0.02;0;0;102.827
9;9;11;36;PositionSINRdB;0;0;0.02;0;0;102.827
9;9;11;37.6384;PositionSINRdB;0;0;0.02;0;0;102.827
10;9;11;40;PositionSINRdB;0;0;0.025;0;0;100.776
10;9;11;41.6384;PositionSINRdB;0;0;0.025;0;0;100.776
11;9;11;44;PositionSINRdB;0;0;0.025;0;0;100.776
11;9;11;45.6384;PositionSINRdB;0;0;0.025;0;0;100.776
12;9;11;48;PositionSINRdB;0;0;0.025;0;0;100.776
12;9;11;49.6384;PositionSINRdB;0;0;0.025;0;0;100.776
13;9;11;52;PositionSINRdB;0;0;0.03;0;0;99.0581
13;9;11;53.6384;PositionSINRdB;0;0;0.03;0;0;99.0581
14;9;11;56;PositionSINRdB;0;0;0.03;0;0;99.0581
14;9;11;57.6384;PositionSINRdB;0;0;0.03;0;0;99.0581
15;9;11;60;PositionSINRdB;0;0;0.035;0;0;97.5658
15;9;11;61.6384;PositionSINRdB;0;0;0.035;0;0;97.5658
16;9;11;64;PositionSINRdB;0;0;0.035;0;0;97.5658
16;9;11;65.6384;PositionSINRdB;0;0;0.035;0;0;97.5658
17;9;11;68;PositionSINRdB;0;0;0.035;0;0;97.5658
