ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;14;18;1.6384;PositionBER;1.5;0.005;0;0.32025;0.32025;-31.7032
2;14;18;3.2768;PositionBER;1.5;0.005;0;0.32025;0.32025;-31.7032
4;14;18;4.9152;PositionBER;1.5;0.005;0;0.32025;0.32025;-31.7032
6;14;18;6.5536;PositionBER;1.5;0.005;0;0.32025;0.32025;-31.7032
8;14;18;8.192;PositionBER;1.5;0.005;0;0.32025;0.32025;-31.7032
10;14;18;9.8304;PositionBER;1.5;0.005;0;0.32025;0.32025;-31.7032
12;14;18;11.4688;PositionBER;1.5;0.01;0;0.318748;0.318748;-31.7297
14;14;18;13.1072;PositionBER;1.5;0.01;0;0.318748;0.318748;-31.7327
16;14;18;14.7456;PositionBER;1.5;0.01;0;0.318748;0.318748;-31.7327
18;14;18;16.384;PositionBER;1.5;0.01;0;0.318748;0.318748;-31.7327
20;14;18;18.0224;PositionBER;1.5;0.01;0;0.318748;0.318748;-31.7327
22;14;18;19.6608;PositionBER;1.5;0.01;0;0.318748;0.318748;-31.7327
24;14;18;21.2992;PositionBER;1.5;0.015;0;0.317244;0.317244;-31.756
26;14;18;22.9376;PositionBER;1.5;0.015;0;0.317244;0.317244;-31.7621
28;14;18;24.576;PositionBER;1.5;0.015;0;0.317244;0.317244;-31.7621
30;14;18;26.2144;PositionBER;1.5;0.015;0;0.317244;0.317244;-31.7621
32;14;18;27.8528;PositionBER;1.5;0.015;0;0.317244;0.317244;-31.7621
34;14;18;29.4912;PositionBER;1.5;0.015;0;0.317244;0.317244;-31.7621
36;14;18;31.1296;PositionBER;1.5;0.02;0;0.315739;0.315739;-31.7823
38;14;18;32.768;PositionBER;1.5;0.02;0;0.315739;0.315739;-31.7914
40;14;18;34.4064;PositionBER;1.5;0.02;0;0.315739;0.315739;-31.7914
42;14;18;36.0448;PositionBER;1.5;0.02;0;0.315739;0.315739;-31.7914
44;14;18;37.6832;PositionBER;1.5;0.02;0;0.315739;0.315739;-31.7914
46;14;18;39.3216;PositionBER;1.5;0.02;0;0.315739;0.315739;-31.7914
48;14;18;40.96;PositionBER;1.5;0.025;0;0.314232;0.314232;-31.8085
50;14;18;42.5984;PositionBER;1.5;0.025;0;0.314232;0.314232;-31.8205
52;14;18;44.2368;PositionBER;1.5;0.025;0;0.314232;0.314232;-31.8205
54;14;18;45.8752;PositionBER;1.5;0.025;0;0.314232;0.314232;-31.8205
56;14;18;47.5136;PositionBER;1.5;0.025;0;0.314232;0.314232;-31.8205
58;14;18;49.152;PositionBER;1.5;0.025;0;0.314232;0.314232;-31.8205
60;14;18;50.7904;PositionBER;1.5;0.03;0;0.312724;0.312724;-31.8345
62;14;18;52.4288;PositionBER;1.5;0.03;0;0.312724;0.312724;-31.8495
64;14;18;54.0672;PositionBER;1.5;0.03;0;0.312724;0.312724;-31.8495
66;14;18;55.7056;PositionBER;1.5;0.03;0;0.312724;0.312724;-31.8495
68;14;18;57.344;PositionBER;1.5;0.03;0;0.312724;0.312724;-31.8495
70;14;18;58.9824;PositionBER;1.5;0.03;0;0.312724;0.312724;-31.8495
72;14;18;60.6208;PositionBER;1.5;0.035;0;0.311214;0.311214;-31.8605
74;14;18;62.2592;PositionBER;1.5;0.035;0;0.311214;0.311214;-31.8784
76;14;18;63.8976;PositionBER;1.5;0.035;0;0.311214;0.311214;-31.8784
78;14;18;65.536;PositionBER;1.5;0.035;0;0.311214;0.311214;-31.8784
80;14;18;67.1744;PositionBER;1.5;0.035;0;0.311214;0.311214;-31.8784
82;14;18;68.8128;PositionBER;1.5;0.035;0;0.311214;0.311214;-31.8784
84;14;18;70.4512;PositionBER;1.5;0.04;0;0.309703;0.309703;-31.8864
86;14;18;72.0896;PositionBER;1.5;0.04;0;0.309703;0.309703;-31.9072
88;14;18;73.728;PositionBER;1.5;0.04;0;0.309703;0.309703;-31.9072
90;14;18;75.3664;PositionBER;1.5;0.04;0;0.309703;0.309703;-31.9072
92;14;18;77.0048;PositionBER;1.5;0.04;0;0.309703;0.309703;-31.9072
94;14;18;78.6432;PositionBER;1.5;0.04;0;0.309703;0.309703;-31.9072
96;14;18;80.2816;PositionBER;1.5;0.045;0;0.30819;0.30819;-31.9121
98;14;18;81.92;PositionBER;1.5;0.045;0;0.30819;0.30819;-31.9358
100;14;18;83.5584;PositionBER;1.5;0.045;0;0.30819;0.30819;-31.9358
102;14;18;85.1968;PositionBER;1.5;0.045;0;0.30819;0.30819;-31.9358
104;14;18;86.8352;PositionBER;1.5;0.045;0;0.30819;0.30819;-31.9358
106;14;18;88.4736;PositionBER;1.5;0.045;0;0.30819;0.30819;-31.9358
108;14;18;90.112;PositionBER;1.5;0.05;0;0.306676;0.306676;-31.9378
110;14;18;91.7504;PositionBER;1.5;0.05;0;0.306676;0.306676;-31.9644
