ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;10;14;1.0256;PositionBER;1.5;0.005;0;0.32025;0.32025;-inf
1;10;14;1.35893;PositionBER;1.5;0.005;0;0.32025;0.32025;-inf
2;10;14;2.99733;PositionBER;1.5;0.005;0;0.32025;0.32025;-40.0304
3;10;14;4.63573;PositionBER;1.5;0.005;0;0.32025;0.32025;-40.0304
4;10;14;6.27413;PositionBER;1.5;0.005;0;0.32025;0.32025;-40.0304
5;10;14;7.91253;PositionBER;1.5;0.005;0;0.32025;0.32025;-40.0304
6;10;14;9.55093;PositionBER;1.5;0.005;0;0.32025;0.32025;-40.0304
7;10;14;11.1893;PositionBER;1.5;0.01;0;0.318748;0.318748;-40.0518
8;10;14;12.8277;PositionBER;1.5;0.01;0;0.318748;0.318748;-40.0598
9;10;14;14.4661;PositionBER;1.5;0.01;0;0.318748;0.318748;-40.0598
10;10;14;16.1045;PositionBER;1.5;0.01;0;0.318748;0.318748;-40.0598
11;10;14;17.7429;PositionBER;1.5;0.01;0;0.318748;0.318748;-40.0598
12;10;14;19.3813;PositionBER;1.5;0.01;0;0.318748;0.318748;-40.0598
13;10;14;21.0197;PositionBER;1.5;0.015;0;0.317244;0.317244;-40.0781
14;10;14;22.6581;PositionBER;1.5;0.015;0;0.317244;0.317244;-40.0891
15;10;14;24.2965;PositionBER;1.5;0.015;0;0.317244;0.317244;-40.0891
16;10;14;25.9349;PositionBER;1.5;0.015;0;0.317244;0.317244;-40.0891
17;10;14;27.5733;PositionBER;1.5;0.015;0;0.317244;0.317244;-40.0891
18;10;14;29.2117;PositionBER;1.5;0.015;0;0.317244;0.317244;-40.0891
19;10;14;30.8501;PositionBER;1.5;0.02;0;0.315739;0.315739;-40.1043
20;10;14;32.4885;PositionBER;1.5;0.02;0;0.315739;0.315739;-40.1183
21;10;14;34.1269;PositionBER;1.5;0.02;0;0.315739;0.315739;-40.1183
22;10;14;35.7653;PositionBER;1.5;0.02;0;0.315739;0.315739;-40.1183
23;10;14;37.4037;PositionBER;1.5;0.02;0;0.315739;0.315739;-40.1183
24;10;14;39.0421;PositionBER;1.5;0.02;0;0.315739;0.315739;-40.1183
25;10;14;40.6805;PositionBER;1.5;0.025;0;0.314232;0.314232;-40.1304
26;10;14;42.3189;PositionBER;1.5;0.025;0;0.314232;0.314232;-40.1473
