ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;10;14;1;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
0;10;14;1.0256;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
1;10;14;1.33333;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
1;10;14;1.35893;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
2;10;14;1.35893;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
2;10;14;2.99733;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
3;10;14;2.99733;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
3;10;14;4.63573;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
4;10;14;4.63573;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
4;10;14;6.27413;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
5;10;14;6.27413;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
5;10;14;7.91253;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
6;10;14;7.91253;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
6;10;14;9.55093;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
7;10;14;9.55093;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
7;10;14;10;PositionSINRdB;1.5;0.005;0;0.32025;0.32025;44.33
7;10;14;10;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
7;10;14;11.1893;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
8;10;14;11.1893;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
8;10;14;12.8277;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
9;10;14;12.8277;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
9;10;14;14.4661;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
10;10;14;14.4661;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
10;10;14;16.1045;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
11;10;14;16.1045;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
11;10;14;17.7429;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
12;10;14;17.7429;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
12;10;14;19.3813;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
13;10;14;19.3813;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
13;10;14;20;PositionSINRdB;1.5;0.01;0;0.318748;0.318748;44.3637
13;10;14;20;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
13;10;14;21.0197;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
14;10;14;21.0197;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
14;10;14;22.6581;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
15;10;14;22.6581;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
15;10;14;24.2965;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
16;10;14;24.2965;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
16;10;14;25.9349;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
17;10;14;25.9349;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
17;10;14;27.5733;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
18;10;14;27.5733;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
18;10;14;29.2117;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
19;10;14;29.2117;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
19;10;14;30;PositionSINRdB;1.5;0.015;0;0.317244;0.317244;44.3972
19;10;14;30;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
19;10;14;30.8501;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
20;10;14;30.8501;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
20;10;14;32.4885;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
21;10;14;32.4885;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
21;10;14;34.1269;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
22;10;14;34.1269;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
22;10;14;35.7653;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
23;10;14;35.7653;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
23;10;14;37.4037;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
24;10;14;37.4037;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
24;10;14;39.0421;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
25;10;14;39.0421;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
25;10;14;40;PositionSINRdB;1.5;0.02;0;0.315739;0.315739;44.4306
25;10;14;40;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
25;10;14;40.6805;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
26;10;14;40.6805;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
26;10;14;42.3189;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
27;10;14;42.3189;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
27;10;14;43.9573;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
28;10;14;43.9573;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
28;10;14;45.5957;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
29;10;14;45.5957;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
29;10;14;47.2341;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
30;10;14;47.2341;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
30;10;14;48.8725;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
31;10;14;48.8725;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
31;10;14;50;PositionSINRdB;1.5;0.025;0;0.314232;0.314232;44.4638
31;10;14;50;PositionSINRdB;1.5;0.03;0;0.312724;0.312724;44.4969
31;10;14;50.5109;PositionSINRdB;1.5;0.03;0;0.312724;0.312724;44.4969
32;10;14;50.5109;PositionSINRdB;1.5;0.03;0;0.312724;0.312724;44.4969
32;10;14;51.0256;PositionSINRdB;1.5;0.03;0;0.312724;0.312724;44.4969
32;10;14;52.1493;PositionSINRdB;1.5;0.03;0;0.312724;0.312724;44.4969
