ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;9;11;532.48;PositionBER;1.5;0.27;0;0.523086;0.523086;-34.6187
1;9;11;534.118;PositionBER;1.5;0.27;0;0.523086;0.523086;-34.6187
2;9;11;535.757;PositionBER;1.5;0.27;0;0.523086;0.523086;-34.6187
3;9;11;537.395;PositionBER;1.5;0.27;0;0.523086;0.523086;-34.6187
4;9;11;539.034;PositionBER;1.5;0.27;0;0.523086;0.523086;-34.6187
5;9;11;540.672;PositionBER;1.5;0.275;0;0.521834;0.521834;-34.6363
6;9;11;542.31;PositionBER;1.5;0.275;0;0.521834;0.521834;-34.6615
7;9;11;543.949;PositionBER;1.5;0.275;0;0.521834;0.521834;-34.6615
8;9;11;545.587;PositionBER;1.5;0.275;0;0.521834;0.521834;-34.6615
9;9;11;547.226;PositionBER;1.5;0.275;0;0.521834;0.521834;-34.6615
10;9;11;548.864;PositionBER;1.5;0.275;0;0.521834;0.521834;-34.6615
11;9;11;550.502;PositionBER;1.5;0.28;0;0.520581;0.520581;-34.6746
12;9;11;552.141;PositionBER;1.5;0.28;0;0.520581;0.520581;-34.7042
13;9;11;553.779;PositionBER;1.5;0.28;0;0.520581;0.520581;-34.7042
14;9;11;555.418;PositionBER;1.5;0.28;0;0.520581;0.520581;-34.7042
15;9;11;557.056;PositionBER;1.5;0.28;0;0.520581;0.520581;-34.7042
16;9;11;558.694;PositionBER;1.5;0.28;0;0.520581;0.520581;-34.7042
17;9;11;560.333;PositionBER;1.5;0.285;0;0.519326;0.519326;-34.7128
18;9;11;561.971;PositionBER;1.5;0.285;0;0.519326;0.519326;-34.7468
19;9;11;563.61;PositionBER;1.5;0.285;0;0.519326;0.519326;-34.7468
20;9;11;565.248;PositionBER;1.5;0.285;0;0.519326;0.519326;-34.7468
21;9;11;566.886;PositionBER;1.5;0.285;0;0.519326;0.519326;-34.7468
