ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
0;9;11;530.842;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
0;9;11;532.48;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
1;9;11;532.48;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
1;9;11;534.118;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
2;9;11;534.118;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
2;9;11;535.757;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
3;9;11;535.757;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
3;9;11;537.395;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
4;9;11;537.395;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
4;9;11;539.034;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
5;9;11;539.034;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
5;9;11;540;PositionSINRdB;1.5;0.27;0;0.523086;0.523086;38.1367
5;9;11;540;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
5;9;11;540.672;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
6;9;11;540.672;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
6;9;11;542.31;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
7;9;11;542.31;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
7;9;11;543.949;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
8;9;11;543.949;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
8;9;11;545.587;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
9;9;11;545.587;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
9;9;11;547.226;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
10;9;11;547.226;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
10;9;11;548.864;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
11;9;11;548.864;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
11;9;11;550;PositionSINRdB;1.5;0.275;0;0.521834;0.521834;38.1856
11;9;11;550;PositionSINRdB;1.5;0.28;0;0.520581;0.520581;38.2344
11;9;11;550.502;PositionSINRdB;1.5;0.28;0;0.520581;0.520581;38.2344
12;9;11;550.502;PositionSINRdB;1.5;0.28;0;0.520581;0.520581;38.2344
12;9;11;552.141;PositionSINRdB;1.5;0.28;0;0.520581;0.520581;38.2344
13;9;11;552.141;PositionSINRdB;1.5;0.28;0;0.520581;0.520581;38.2344
